Surname,Name,Patronymic,Gender,BirthDate,Position,City,Address,Phone,Email
Тесленко,Валерій,Іванович,Male,1942-11-21,Музикознавець,село Ізюм,"шосе Середньофонтанський, буд. 82 кв. 657, Чигирин, 98562",+380 93 156 15 98,tiahnybokfrants@example.com
Гресь,Геннадій,Володимирович,Male,1983-01-23,Журналіст,місто Баранівка,"провулок Марсельська, буд. 090 кв. 1, Глобине, 63886",023-19-31,viktor90@example.net
Абрагамовський,Адам,Максимович,Male,1957-06-11,Випробувач,місто Миргород,"сквер Ланжеронівський узвіз, буд. 4 кв. 16, Тячів, 79731",+380 76 923-31-94,qakymenko@example.org
Гресь,Охрім,Петрович,Male,1965-02-09,Модельєр,селище Чистякове,"сквер Деревообробний 1-й, буд. 6, Миронівка, 69189",+380 (05) 391-37-75,oleksadotsenko@example.org
Худяк,Тарас,Олександрович,Male,1949-11-30,Письменник,місто Богуслав,"сквер Осипова, буд. 31 кв. 928, Білопілля, 60659",+380 46 389 71 56,pmatiash@example.org
Гавришкевич,Дан,Іванович,Male,1978-04-24,Адвокат,хутір Липовець,"провулок Каменярів, буд. 937, Могилів-Подільський, 09227",186-28-95,vshvaika@example.com
Бабиченко,Зорян,Богданович,Male,1964-01-22,Архітектор,селище Новоукраїнка,"провулок Довга, буд. 540, Черкаси, 54991",480 12 00,iarema13@example.org
Андріїшина,Орхип,Дмитрович,Male,1968-06-14,Ді-джей,селище Шахтарське,"парк Бузковий, буд. 8, Бунге, 68738",014 829-40-06,iustyna57@example.net
Комар,Мирон,Григорович,Male,2004-06-12,Ботанік,хутір Шпола,"вулиця Ашгабатська, буд. 756 кв. 60, Коломия, 27101",+380 46 886-98-09,ybabarychenko@example.org
Шухевич,Валерій,Миколайович,Male,1955-09-20,Намотувальник,хутір Кобеляки,"провулок Приморський, буд. 9, Радивилів, 67134",786 18 38,marko57@example.org
Михалюк,Омелян,Романович,Male,1957-02-03,Фотограф,місто Тернівка,"площа Дружний, буд. 6 кв. 358, Берегове, 03775",209 14 33,idzyndra@example.org
Семенченко,Олесь,Іванович,Male,1976-07-18,Редактор,селище Хорол,"проспект Новопланівська, буд. 29, Городенка, 45385",194 19 69,kzinchuk@example.org
Височан,Мартин,Григорович,Male,1991-02-27,Режисер,село Самар,"провулок Ярморочна площа, буд. 7 кв. 992, Арциз, 14867",+380 21 409-47-00,orysia43@example.net
Чекалюк,Кирило,Степанович,Male,1947-06-09,Художник,хутір Перещепине,"провулок Проїзний 2-й, буд. 73 кв. 2, Вугледар, 51828",+380 02 592 19 45,ilienkovenedykt@example.net
Смик,Давид,Арсенович,Male,1948-07-13,Географ,село Заставна,"парк Скліфосовського, буд. 981 кв. 9, Теплодар, 81111",589 80 78,darynaperebyinis@example.com
Вертипорох,Валентин,Богданович,Male,1974-02-11,Прокурор,хутір Куп'янськ,"узвіз Басейний 4-й, буд. 387 кв. 566, Кам'янка-Бузька, 99628",+380 90 336-41-27,emiliia32@example.net
Верхола,Нестор,Васильович,Male,1984-07-09,Різноробочий,хутір Бориспіль,"набережна Іспанська, буд. 09, Вінниця, 14256",653 83 47,veniiamyn44@example.com
Перебийніс,Варфоломій,Дмитрович,Male,2006-07-07,Програміст,хутір Долина,"парк Чубаївська, буд. 9, Шаргород, 87489",+380 36 249 54 58,orkhypartymyshyn@example.org
Колісниченко,Віталій,Романович,Male,1950-10-10,Сантехнік,село Сватове,"провулок Обільна, буд. 1, Ковель, 54673",187-65-91,anastasiiaavdieienko@example.net
Твердохліб,Валентин,Андрійович,Male,2001-09-26,Геофізик,село Шаргород,"парк Польова, буд. 67 кв. 8, Бахчисарай, 51003",+380 47 167-91-54,vhavriushenko@example.org
Черінько,Владислав,Юрійович,Male,1962-12-19,Фотограф,хутір Святогірськ,"сквер Кавунова, буд. 863, Ялта, 79991",397 57 80,olha78@example.org
Гавриленко,Назар,Євгенович,Male,2001-05-12,Громадський діяч,селище Помічна,"сквер Умова, буд. 229, Роздільна, 95754",638-92-63,alina82@example.org
Ющенко,Устим,Миколайович,Male,1989-01-10,Державний службовець,селище Хмельницький,"парк Лінія 39-та, буд. 4, Трускавець, 36692",156-77-74,romanchukivan@example.com
Баштан,Богодар,Степанович,Male,1988-11-18,Флорист,хутір Глобине,"сквер Матроський, буд. 6 кв. 8, Чистякове, 51439",+380 (79) 108-99-60,lesdziuba@example.net
Теліженко,Онисим,Андрійович,Male,1991-11-15,Ріелтор,хутір Тлумач,"парк Китобійний 1-й, буд. 749, Кривий Ріг, 26718",+380 33 399-38-93,sviatoslava03@example.com
Дуплій,Ілля,Ігорович,Male,1945-05-10,Конструктор,місто Білозерське,"проспект Рівності, буд. 8, Болехів, 75413",426 26 36,wtelychenko@example.org
Бабак,Марко,Володимирович,Male,1952-07-08,Гінеколог,село Армянськ,"вулиця Проектований 3-й, буд. 79 кв. 5, Тульчин, 41404",013 977-01-83,paliiteodor@example.org
Ярема,Августин,Максимович,Male,1993-12-12,Будник,село Старокостянтинів,"сквер Житомирська, буд. 4, Бережани, 83884",028 713 87 36,shynkarenkoamaliia@example.org
Заїка,Святослав,Сергійович,Male,1952-10-05,Менеджер,місто Гайворон,"проспект Польський узвіз, буд. 738 кв. 076, Саки, 17625",887 63 10,uneporozhnii@example.net
Стець,Орхип,Ярославович,Male,1993-12-16,Паблік рилейшнз,місто Мостиська,"шосе Бєлякова, буд. 469 кв. 869, Кременчук, 80540",080 393 55 35,toberemko@example.com
Андрощук,Нестор,Ярославович,Male,1993-12-11,Державний службовець,місто Ржищів,"площа Восьмого березня 2-й, буд. 0 кв. 53, Тульчин, 05709",948-85-82,iefrem66@example.com
Гресь,Прохір,Євгенович,Male,1947-06-17,Прокурор,місто Покровськ,"проспект Кустанайський 2-й, буд. 294, Отаманівка, 32198",298 74 77,eiashchuk@example.com
Тимчук,Гордій,Ігорович,Male,1973-10-02,Паралегал,місто Середина-Буда,"провулок Маловського, буд. 16, Острог, 07388",040 660-20-47,hannahavrylyshyn@example.com
Сірко,Захар,Романович,Male,1966-11-24,Літературознавець,місто Коростишів,"вулиця 21-й км Старокиївської дороги, буд. 9 кв. 43, Кам'янка-Бузька, 75447",+380 64 001 33 20,velychkoomelian@example.com
Матвієнко,Степан,Максимович,Male,1952-08-24,Мистецтвознавець,хутір Арциз,"узвіз Госпітальєрів, буд. 86, Вугледар, 07991",+380 98 369-09-07,iereskoteodor@example.net
Медведенко,Борис,Максимович,Male,2008-03-25,Гінеколог,хутір Кілія,"провулок Полуничний, буд. 389 кв. 03, Тисмениця, 73552",039 608 95 44,iakymenkoielysei@example.org
Остапчук,Олесь,Миколайович,Male,1981-08-20,Піаніст,місто Маріуполь,"парк Івахненка Петра, буд. 39 кв. 658, Ужгород, 79642",963-58-36,iustyna70@example.com
Дерегус,Леонтій,Васильович,Male,1992-07-17,Сценарист,місто Миколаївка,"вулиця Павла Чубинського, буд. 76 кв. 0, Полтава, 07664",+380 62 263-77-35,mariiakorsun@example.net
Євдокименко,Тарас,Григорович,Male,2000-09-18,Астронавт,місто Приморськ,"проспект Яші Гордієнка, буд. 284, Алупка, 77845",+380 39 402-78-92,idzhun@example.com
Акуленко,Назар,Дмитрович,Male,1962-11-19,Ді-джей,село Буринь,"проспект Дворникова, буд. 6 кв. 72, Ніжин, 62037",072 505-26-02,stefanchmil@example.org
Єфименко,Едуард,Ярославович,Male,2002-07-31,Етнограф,селище Євпаторія,"проспект Санаторний, буд. 99 кв. 259, Немирів, 35965",+380 (57) 285-28-38,odarkashvachko@example.net
Давиденко,Трохим,Миколайович,Male,1986-12-15,Актор,селище Докучаєвськ,"шосе Квітки-Основ’яненка, буд. 12, Алупка, 92709",687-59-61,ostapkolesnychenko@example.com
Івасюк,Омелян,Петрович,Male,1989-10-26,Прокурор,місто Погребище,"шосе Розумовський 1-й, буд. 410 кв. 941, Підгородне, 83651",+380 84 400 09 10,bazylevskyihanna@example.net
Корж,Варфоломій,Олегович,Male,1972-04-22,Кур'єр,хутір Буча,"шосе Панаса Саксаганського, буд. 514 кв. 9, Підгайці, 11444",+380 18 341-83-22,eduardromanenko@example.org
Чуприна,Федір,Іванович,Male,1997-01-26,Локсмайстер,хутір Долинська,"вулиця Суперфосфатна, буд. 4, Березівка, 70277",094 192 89 58,pylyp35@example.org
Негода,Герман,Арсенович,Male,1997-12-02,Соціолог,місто Нововолинськ,"вулиця Морехідна, буд. 3 кв. 635, Ірміно, 78791",080 149 93 21,kolodubokhrim@example.org
Демʼянчук,Демид,Олегович,Male,2001-03-31,Кур'єр,село Сторожинець,"узвіз Віталія Блажка, буд. 628, Залізне, 55525",046 935-19-12,oleksa65@example.org
Верховинець,Яків,Миколайович,Male,1979-10-02,Державний службовець,хутір Зимогір'я,"площа Гаванна, буд. 66 кв. 715, Полонне, 12078",+380 82 886-08-03,hryhorii25@example.com
Рева,Едуард,Ігорович,Male,1942-05-05,Мовознавець,селище Тлумач,"вулиця Наливна, буд. 3 кв. 7, Світловодськ, 12148",122 35 17,qprykhodko@example.net
Ґерета,Трохим,Андрійович,Male,1998-08-23,Електрослюсар,хутір Жидачів,"сквер Баштанна, буд. 65 кв. 170, Українськ, 01457",+380 32 008-26-09,trokhym12@example.com
Александренко,Симон,Дмитрович,Male,1974-03-23,Круп'є,селище Єнакієве,"проспект Красний, буд. 15 кв. 03, Городня, 76019",026 345-63-60,asuprunenko@example.com
Шморгун,Омелян,Володимирович,Male,1992-05-04,Патологоанатом,село Новоукраїнка,"провулок Новаторів, буд. 82, Благовіщенське, 55038",057 646 29 78,androshchukvalentyna@example.net
Гайдай,Панас,Іванович,Male,1958-03-07,Лікар,селище Радехів,"шосе Композитора Вербицького, буд. 6, Ніжин, 80433",960-20-27,alevtyn49@example.com
Нестеренко,Олег,Дмитрович,Male,2000-03-07,Кінокритик,село Перещепине,"площа Приморська, буд. 1, Федорівка, 51913",424-43-37,petrokhomyk@example.com
Ґалаґан,Михайло,Романович,Male,1978-04-08,Флорист,село Алмазна,"шосе Суднобудівний, буд. 2 кв. 929, Бурштин, 27617",735-16-74,oleksandrbabarychenko@example.org
Перепелиця,Хома,Дмитрович,Male,1979-06-16,Музикант,село Горохів,"вулиця Чернівецький, буд. 75 кв. 029, Миколаївка, 39879",797 35 84,karpenkoirena@example.org
Черінько,Демʼян,Максимович,Male,1996-02-22,Сценарист,хутір Краматорськ,"провулок Армійська, буд. 3 кв. 25, Косів, 10555",781-67-16,tsybulenkovalerii@example.net
Адамчук,Зорян,Васильович,Male,1985-05-01,Археолог,село Монастириська,"сквер Мерло, буд. 5, Великі Мости, 09741",529-19-36,varfolomii24@example.net
Дергач,Соломон,Григорович,Male,1948-04-14,Літературознавець,хутір Маріуполь,"узвіз Кладовищний, буд. 1 кв. 040, Сторожинець, 78142",464 95 21,aoliinyk@example.com
Терещук,Остап,Максимович,Male,1963-02-08,Фізик,село Вижниця,"парк Ключовий 2-й, буд. 274, Бурштин, 19100",+380 (82) 695-56-96,iosyp37@example.net
Дробʼязко,Августин,Арсенович,Male,1992-04-03,Письменник,хутір Тетіїв,"узвіз Володимира Хавкіна, буд. 002, Дружківка, 51585",006 279 94 17,vashchenko-zakharchenkopetro@example.net
Уманець,Богдан,Євгенович,Male,1961-05-31,Математик,селище Тульчин,"сквер Дружний, буд. 24 кв. 851, Коростишів, 36068",423 68 74,aromanets@example.com
Барабаш,Єфрем,Олегович,Male,1994-02-06,Палеонтолог,місто Львів,"вулиця Журавлина, буд. 7, Міусинськ, 88089",567 40 77,amvrosiihuz@example.net
Юрченко,Панас,Євгенович,Male,1972-04-04,Науковець,місто Соледар,"набережна Партизанської слави, буд. 0 кв. 71, Нова Одеса, 44781",493-89-32,oleksa37@example.com
Дашкевич,Олекса,Ігорович,Male,1958-11-22,Драматург,селище Шостка,"узвіз Альпіністів, буд. 530, Антрацит, 81155",009 666-93-58,zinchuksviatoslav@example.net
Данилюк,Прохір,Петрович,Male,1958-05-18,Зоолог,хутір Брянка,"площа Баринштейна, буд. 751 кв. 76, Татарбунари, 51686",+380 35 806-60-42,rubanbohodar@example.org
Дубина,Пармен,Богданович,Male,2009-08-03,Редактор,місто Шахтарськ,"провулок Павла Зеленого, буд. 698, Коростень, 29547",519-65-50,myroslavdurdynets@example.net
Вітер,Борислав,Іванович,Male,1955-05-01,Намотувальник,село Гребінка,"парк Карпатська, буд. 329 кв. 6, Кам'янець-Подільський, 46263",949 43 26,gmykhailiuk@example.org
Голобородько,Трохим,Володимирович,Male,1947-12-23,Євнух,селище Звенигородка,"вулиця Ялинкова, буд. 17, Севастополь, 74649",+380 42 773-09-31,adamenkoieva@example.net
Тичина,Гаврило,Богданович,Male,1942-04-23,Провізор,місто Світловодськ,"площа Садова 6-та, буд. 79 кв. 109, Бершадь, 59852",017 847 46 27,klyment98@example.org
Засуха,Устим,Васильович,Male,1989-05-08,Електротехнік,хутір Великі Мости,"парк Умова, буд. 1 кв. 5, Миколаївка, 04641",+380 23 129 85 56,milienko@example.org
Сиротенко,Арсен,Васильович,Male,1968-03-25,Адвокат,місто Донецьк,"шосе Стовпова, буд. 8, Заліщики, 90665",+380 06 971 04 69,mykyta86@example.com
Єщенко,Арсен,Євгенович,Male,2004-02-17,Біолог,село Носівка,"провулок Хаджибейський 2-й, буд. 4 кв. 67, Волочиськ, 09049",049 674 42 76,vladyslav28@example.net
Бездітко,Онисим,Богданович,Male,1954-08-30,Астроном,хутір Глухів,"узвіз Павла Клепацького, буд. 265 кв. 28, Хотин, 19324",388 37 89,liudmyla62@example.org
Хорішко,Гордій,Васильович,Male,1964-10-22,Клавішник,хутір Охтирка,"парк 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 70, Самбір, 25703",+380 (23) 178-69-32,cokhrymovych@example.org
Сімашкевич,Борислав,Васильович,Male,1973-05-31,Архітектор,місто Попасна,"набережна Горбиста, буд. 2 кв. 36, Кропивницький, 67262",+380 (57) 881-86-69,tabramchuk@example.org
Пʼятаченко,Омелян,Дмитрович,Male,1980-03-21,Кіноактор,село Бунге,"парк Мерло, буд. 5, Новгород-Сіверський, 11687",+380 80 262-07-20,lazarenkoklavdiia@example.com
Парасюк,Соломон,Васильович,Male,1940-10-29,Єгер,село Макіївка,"проспект Дюківський сад, буд. 335 кв. 97, Копичинці, 14177",316-56-02,lshovkoplias@example.com
Луценко,Семен,Ярославович,Male,1939-04-22,Науковець,хутір Дрогобич,"шосе Херсонський, буд. 92 кв. 23, Прилуки, 61859",+380 (51) 585-22-64,amaliia00@example.com
Оніщук,Юхим,Арсенович,Male,2004-10-29,Вчитель,селище Сокиряни,"набережна Східний 1-й, буд. 471 кв. 70, Рожище, 34120",000 433 11 23,orestavdieienko@example.org
Тичина,Феофан,Андрійович,Male,1955-02-22,Палеонтолог,село Теплодар,"узвіз Москеті, буд. 630 кв. 7, Тячів, 30799",072 377 45 25,datsiukvenedykt@example.net
Павличенко,Володимир,Олегович,Male,1993-02-23,Євнух,селище Калинівка,"набережна Куликовський 2-й, буд. 9, Слов'янськ, 20229",+380 78 283-08-17,trokhym72@example.net
Ярема,Соломон,Петрович,Male,1955-03-05,Головний меркшейдер,село Погребище,"провулок Лугова, буд. 049 кв. 803, Путивль, 98227",+380 42 636 76 14,opanasabramchuk@example.org
Гуцуляк,Віталій,Григорович,Male,1943-09-29,Дипломат,селище Монастириська,"площа Квантовий, буд. 705, Ямпіль, 57026",+380 (97) 869-53-23,amaliiaiermolenko@example.com
Міщенко,Тимофій,Григорович,Male,1949-09-20,Круп'є,село Попасна,"парк Польський узвіз, буд. 608, Токмак, 94694",364 20 92,hermanchubai@example.org
Палій,Валерій,Григорович,Male,1937-12-27,Електрослюсар,селище Мирноград,"сквер Навігаційний, буд. 110, Гадяч, 66299",041 890 47 29,ufastenko@example.net
Бабенко,Панас,Максимович,Male,1956-03-28,Громадський діяч,селище Вінниця,"сквер Віри Інбер, буд. 309 кв. 4, Благовіщенське, 68279",015 767 31 49,avhustyn57@example.com
Хорішко,Франц,Богданович,Male,1967-01-25,Сантехнік,місто Амвросіївка,"узвіз Партизанська, буд. 53, Решетилівка, 93047",+380 (82) 535-52-61,udeineka@example.net
Овчаренко,Гордій,Романович,Male,1984-08-01,Єгер,хутір Липовець,"сквер Лінія 46-та, буд. 4, Андрушівка, 09968",+380 48 116 28 63,heorhiiostapchuk@example.com
Яценюк,Пилип,Арсенович,Male,1963-06-07,Модельєр,селище Вінниця,"узвіз Прохоровська, буд. 29 кв. 6, Славута, 08486",222 65 24,adamakymenko@example.org
Данилюк,Остап,Юрійович,Male,1994-07-23,Парфюмер,село Вуглегірськ,"шосе Лузанівська, буд. 91, Ірміно, 72757",021 299-35-80,barannykvadym@example.net
Бабко,Спас,Арсенович,Male,1978-08-22,Палеонтолог,хутір Довжанськ,"проспект Уральська, буд. 37, Балаклія, 14678",822 60 52,leontiibevzenko@example.com
Матяш,Охрім,Юрійович,Male,1981-07-09,Стоматолог,хутір Тячів,"сквер Івана Луценка, буд. 916, Яворів, 15027",065 379-91-51,ihorderhach@example.org
Теліженко,Гліб,Володимирович,Male,1969-10-05,Мистецтвознавець,село Кривий Ріг,"набережна 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 2 кв. 27, Тростянець, 55794",031 193 67 24,anastasiiaorlyk@example.net
Чекалюк,Тимофій,Ігорович,Male,1993-12-17,Дизайнер,селище Ланівці,"проспект Навігаційний, буд. 716, Львів, 34937",681 78 24,myronshyian@example.org
Гавриленко,Лесь,Григорович,Male,1974-01-04,Кур'єр,селище Нова Одеса,"сквер Пересипська 4-та, буд. 381, Чоп, 93565",048 493-24-53,snizhana72@example.com
Непорожній,Юстим,Миколайович,Male,1938-01-22,Сантехнік,хутір Буськ,"вулиця Злакова, буд. 1 кв. 4, Лисичанськ, 38453",+380 (31) 871-15-18,havryshkevychiosyp@example.com
Терещенко,Святослав,Петрович,Male,1948-01-12,Кінорежисер,село Звенигородка,"узвіз Наявний 3-й, буд. 1, Таврійськ, 19472",+380 80 189 70 62,marusia51@example.net
Харченко,Лукʼян,Володимирович,Male,1990-12-26,Художник,хутір Запоріжжя,"парк Хаджибейський, буд. 2 кв. 7, Одеса, 17091",+380 07 192 09 96,qzasukha@example.com
Андрійчук,Вадим,Романович,Male,1949-02-04,Єгер,село Київ,"парк Верстатобудівна, буд. 55 кв. 155, Новоселиця, 93686",+380 85 660-79-89,uandreiko@example.net
Медведенко,Данило,Іванович,Male,1966-09-23,Сантехнік,селище Старий Самбір,"парк Мигдальна, буд. 8, Севастополь, 04688",059 467-81-92,viteravrelii@example.com
Сич,Вʼячеслав,Іванович,Male,1982-10-01,Дипломат,хутір Запоріжжя,"площа Сергія Уточкіна, буд. 2, Христинівка, 63121",+380 (42) 158-03-73,babiimarusia@example.net
Ванченко,Августин,Романович,Male,1946-02-27,Ді-джей,хутір Хрустальний,"шосе Асташкіна, буд. 4, Устилуг, 65144",396-03-29,drobakhahalyna@example.org
Давиденко,Йосип,Олегович,Male,1959-09-05,Фольклорист,селище Торецьк,"провулок Наявний 7-й, буд. 2 кв. 972, Гірник, 07960",040 803-38-16,kamillaadamchuk@example.org
Бабариченко,Петро,Романович,Male,1977-04-12,Сценарист,селище Барвінкове,"площа Ольгіївський узвіз, буд. 302 кв. 9, Очаків, 84732",975 44 06,okseniia82@example.org
Онищенко,Леопольд,Іванович,Male,1941-03-02,Складальник,хутір Вуглегірськ,"площа Вапняний 2-й, буд. 85, Старокостянтинів, 38662",077 353 50 98,moskalles@example.org
Піддубна,Пилип,Дмитрович,Male,1976-02-09,Науковець,селище Миргород,"узвіз Газова, буд. 06 кв. 1, Гребінка, 38883",+380 (53) 986-55-57,boryslav40@example.com
Барабаш,Станіслав,Васильович,Male,1951-01-03,Актор,селище Гуляйполе,"шосе Високий, буд. 9 кв. 166, Долинська, 65628",+380 57 300-58-36,nazarbabychenko@example.org
Шиян,Ярема,Андрійович,Male,1994-07-19,Штукатур,хутір Старий Крим,"узвіз Студентський 1-й, буд. 2, Овруч, 06635",095 857 28 19,olessalii@example.net
Гаврилишина,Леонтій,Сергійович,Male,1938-06-27,Ювелір,місто Перечин,"площа Опішнянський, буд. 19, Коростишів, 17633",+380 95 602-80-03,orlykmaksym@example.net
Твердохліб,Віктор,Сергійович,Male,1947-07-23,Дизайнер,селище Буринь,"провулок Дельфін, буд. 769 кв. 733, Городня, 05318",723-62-28,zhohol-ianovskyi@example.net
Шеремета,Яків,Ігорович,Male,1956-07-11,Будник,місто Комарно,"провулок Гімназична, буд. 33 кв. 124, Полонне, 07486",091 604 86 52,tverdokhlibroman@example.com
Бабак,Мирон,Олександрович,Male,1976-04-22,Фольклорист,хутір Іллінці,"вулиця Олександра Мурашка, буд. 1 кв. 67, Зоринськ, 91233",+380 01 842-74-94,mykhailofranko@example.com
Дробаха,Йосип,Арсенович,Male,1993-09-23,Фотограф,місто Полтава,"набережна Пастера, буд. 1, Докучаєвськ, 71736",+380 (80) 951-32-01,bezditkopanteleimon@example.com
Бандера,Єлисей,Євгенович,Male,1952-03-02,Актор,місто Бар,"провулок Варненська, буд. 885, Бахчисарай, 90654",962-49-58,sofiia61@example.com
Супруненко,Мартин,Володимирович,Male,1990-10-10,Головний меркшейдер,місто Ківерці,"площа Аеропортівський 1-й, буд. 235, Володимир-Волинський, 33194",+380 55 079 65 94,barabashfrants@example.com
Онищенко,Веніямин,Євгенович,Male,1961-10-09,Літературознавець,хутір Ізмаїл,"сквер Шевченка парк, буд. 3, Копичинці, 82537",+380 (47) 603-73-86,ysymonenko@example.org
Єрьоменко,Богуслав,Юрійович,Male,1998-11-05,Науковець,місто Пустомити,"парк Єфімова, буд. 4 кв. 61, Українка, 70383",+380 48 458 39 73,goliashliudmyla@example.com
Алексюк,Назар,Володимирович,Male,1957-11-04,Прокурор,село Черкаси,"площа Елеваторна, буд. 238, Березне, 16052",+380 06 357-26-53,stanislavvernyhora@example.org
Вакуленко,Віктор,Арсенович,Male,1952-11-02,Парфюмер,місто Сквира,"провулок Олександра Ройтбурда, буд. 73 кв. 29, Березань, 84080",+380 03 161 50 05,karpakamilla@example.net
Козаченко,Єфрем,Арсенович,Male,1994-04-13,Модель,селище Чуднів,"шосе Тупиковий 1-й, буд. 42, Угнів, 05359",+380 82 061-03-46,kyrylo74@example.net
Вовк,Дан,Ігорович,Male,1983-11-09,Паралегал,хутір Харцизьк,"парк Люстдорфська дорога, буд. 024, Ірміно, 20747",+380 21 392 86 78,pavlo80@example.org
Жученко,Омелян,Володимирович,Male,1995-10-26,Фрілансер,хутір Шахтарськ,"проспект Деревообробний 3-й, буд. 863 кв. 749, Христинівка, 89012",004 938-98-54,alevtyn96@example.org
Саченко,Опанас,Олександрович,Male,1958-10-12,Конструктор,село Рогатин,"проспект Ніжинська, буд. 4 кв. 5, Чигирин, 57761",+380 33 210-29-64,fshukhevych@example.com
Рубець,Гаврило,Іванович,Male,1976-11-24,Сантехнік,село Зіньків,"шосе Братів Малакових, буд. 364 кв. 28, Очаків, 66354",+380 05 742-58-18,heorhii84@example.org
Теліженко,Сергій,Максимович,Male,1990-05-15,Скульптор,село Рава-Руська,"шосе Квантовий, буд. 495 кв. 45, Сіверськодонецьк, 03316",074 842 22 56,dan97@example.org
Франчук,Володимир,Іванович,Male,1954-10-16,Клоун,село Берегове,"сквер Левкоєва, буд. 5 кв. 075, Кагарлик, 21091",+380 59 953 89 47,zhadaniefrem@example.net
Бевз,Артем,Арсенович,Male,2006-09-20,Паралегал,хутір Саки,"сквер Шахтинський, буд. 6, Збараж, 30932",093 793 67 58,hutsuliakzlatoslava@example.com
Бабиченко,Леонтій,Максимович,Male,1966-09-11,Скульптор,селище Тростянець,"провулок Обсерваторний, буд. 45 кв. 5, Чернівці, 18722",+380 99 327 93 73,marusianikoliuk@example.net
Панчук,Борислав,Андрійович,Male,1964-12-05,Етнограф,хутір Снігурівка,"шосе Ботанічний, буд. 8, Сквира, 27892",484-78-18,shrytsenko@example.org
Скиба,Микита,Олегович,Male,2006-01-21,Астроном,хутір Кременець,"шосе Єфімова, буд. 96 кв. 748, Шостка, 73148",055 078-65-56,rtsiupa@example.net
Макогон,Олесь,Васильович,Male,1958-09-14,Різноробочий,селище Харків,"парк Шостої 2-й, буд. 05, Болград, 29413",075 178 54 26,iefremtsiutsiura@example.net
Жученко,Степан,Євгенович,Male,1956-01-16,Краєзнавець,селище Берестечко,"провулок Відважних, буд. 701 кв. 5, Новоазовськ, 02421",029 351 61 76,ivanychuksviatoslav@example.com
Ящук,Азар,Богданович,Male,1955-08-12,Реставратор,місто Кременчук,"набережна Артилерійська, буд. 780 кв. 39, Лисичанськ, 11165",072 292 66 44,valeriiisaievych@example.com
Непорожній,Федір,Олександрович,Male,1963-04-21,Астрофізик,місто Сніжне,"набережна Стражеска Миколи, буд. 2 кв. 67, Судак, 82204",+380 45 686-16-14,ivan53@example.net
Затовканюк,Єлисей,Арсенович,Male,1954-05-01,Фотограф,місто Українка,"проспект Ткачова, буд. 438 кв. 453, Чорноморськ, 26972",+380 (02) 978-02-79,rskoryk@example.com
Сірченко,Віктор,Юрійович,Male,1951-07-29,Географ,місто Броди,"проспект Виноградний тупик, буд. 844 кв. 2, Мостиська, 85307",+380 05 653-87-93,prykhodkoarkadii@example.org
Мазур,Антон,Ярославович,Male,1998-09-01,Нотаріус,хутір Міусинськ,"набережна Чорноморський 4-й, буд. 19 кв. 78, Кадіївка, 48521",057 169 55 93,odakhno@example.org
Андрусенко,Борислав,Васильович,Male,1999-02-08,Бібліотекар,місто Заводське,"вулиця Скляна, буд. 5 кв. 1, Переяслав, 92674",+380 (09) 870-42-24,jriaboshapka@example.net
Лубенець,Пантелеймон,Петрович,Male,2007-05-26,Бізнесмен,хутір Саки,"сквер Лінія 53-тя, буд. 7, Глиняни, 58521",+380 88 221 94 69,andriishynlukian@example.com
Цюпа,Роман,Романович,Male,1956-08-27,Астрофізик,місто Костянтинівка,"парк Деревообробний 1-й, буд. 6 кв. 8, Надвірна, 76368",+380 85 248-14-50,gsamoilenko@example.com
Колодуб,Борислав,Максимович,Male,1963-02-01,Літературознавець,хутір Камінь-Каширський,"вулиця Павла Зеленого, буд. 170 кв. 91, Сокиряни, 98637",+380 18 615 95 85,zinkevychpanas@example.com
Павличенко,Леонтій,Романович,Male,1942-06-03,Дантист,селище Отаманівка,"проспект Флотський 1-й, буд. 846, Лубни, 35373",846-27-45,azhuchenko@example.net
Сірченко,Єлисей,Богданович,Male,1956-07-30,Епідеміолог,селище Красноперекопськ,"набережна Нафтовиків, буд. 80, Нововолинськ, 47640",+380 49 783 74 05,shutkostepan@example.org
Ісаєвич,Йосип,Миколайович,Male,2004-12-25,Адвокат,селище Скалат,"парк Митна, буд. 793, Вижниця, 76112",042 812-53-50,heorhii29@example.org
Давимука,Євген,Богданович,Male,1978-10-15,Золотар,селище Арциз,"шосе Будівельна, буд. 4, Богуслав, 56930",+380 (22) 768-59-34,semen75@example.com
Василевич,Григорій,Сергійович,Male,1942-03-20,Штукатур,хутір Полтава,"площа Богдана Хмельницького, буд. 786, Іллінці, 11299",736 91 66,leonidiesypenko@example.net
Деркач,Макар,Ярославович,Male,1986-05-03,Геофізик,село Святогірськ,"сквер Митракова, буд. 2 кв. 21, Сарни, 03252",088 910-28-30,hlutsenko@example.net
Рябошапка,Нестор,Максимович,Male,1949-03-28,Композитор,село Хорол,"набережна Цесевича, буд. 562 кв. 98, Білогірськ, 17860",038 973 30 68,romanetsbohodar@example.com
Александренко,Степан,Іванович,Male,1976-12-27,Доцент,селище Шахтарське,"вулиця Ювілейний 1-й, буд. 797 кв. 53, Ямпіль, 80589",187-38-81,viktoriia60@example.net
